id,question,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,p_true,LLM_verdict,C_metric,category,DSE_threshold,DSE_b_entropy,category_dse
train::6916,What term is used to describe foods containing active cultures of beneficial bacteria?,['probiotic'],probiotic,1.0,"['probiotics', 'probiotic', 'probiotic', 'probiotic', 'probiotic', 'probiotic', 'probiotic', 'probiotics', 'probiotics', 'probiotic foods']",-0.0,-1.3155362606048584,True,0.4363636363636363,correct_low,0.6969696970393939,0,correct_high
train::4656,What do many scientists think are the oldest eukaryotes?,['protists'],plants,0.0,"['fungi', 'algae', 'plants and animals', 'fungi', 'protozoa', 'protists', 'plants', 'plants', 'fungi', 'protists']",1.5,-1.809137821197509,False,0.1272727272727272,incorrect_low,0.6969696970393939,1,incorrect_low
train::11083,"Although what biochemicals circulate throughout the body and come into contact with many different cell types, they only affect cells that possess the necessary receptors?",['hormones'],hormones,1.0,"['hormones', 'hormones', 'hormones', 'hormones', 'hormones', 'hormones', 'hormones', 'hormones', 'hormones', 'hormones']",-0.0,-0.0897471904754638,True,1.0,correct_high,0.6969696970393939,0,correct_high
train::4306,What is the ring of hooks tapeworms use to attach themselves?,['scolex'],suckers,0.0,"['rostellum', 'scolex', 'rostellum', 'suckers', 'scolex', 'suckers', 'scolex', 'suckers', 'suckers', 'suckers']",1.03,-2.6992552280426025,False,0.3454545454545454,incorrect_low,0.6969696970393939,1,incorrect_low
train::7500,"Red blood cells, white blood cells, platelets, and plasma are all components of what fluid?",['blood'],blood,1.0,"['blood', 'blood', 'blood', 'blood', 'blood', 'blood', 'blood', 'blood', 'blood', 'blood']",-0.0,-0.0895625650882721,True,1.0,correct_high,0.6969696970393939,0,correct_high
train::2868,The bottom of the ocean is called what?,['the benthic zone'],the deep sea,0.0,"['the ocean floor', 'the deep sea or ocean floor', 'the ocean floor', 'ocean floor', 'the deep sea', 'the ocean floor', 'the ocean floor', 'the seafloor', 'deep-sea floor', 'the deep sea or the ocean floor']",1.22,-2.020453929901123,False,0.1272727272727272,incorrect_low,0.6969696970393939,1,incorrect_low
train::11262,"The transmitted light strikes a photoelectric tube, which converts the light energy to?",['electricity'],electrical energy,0.0,"['electrical energy', 'electrical energy', 'electric energy', 'electricity', 'electrical energy', 'electrons', 'electricity', 'electrical energy', 'electricity', 'electrical energy']",0.33,-0.0623646266758441,True,0.3272727272727272,correct_low,0.6969696970393939,0,correct_high
train::4976,What part of the brain is largest in intelligent mammals?,['cerebrum'],cerebrum,1.0,"['cerebral cortex', 'cerebral cortex', 'neocortex', 'cerebrum', 'cerebrum', 'neocortex', 'Cerebrum', 'cerebrum', 'cerebrum', 'cerebral cortex']",1.03,-1.3154269456863403,True,0.3454545454545454,correct_low,0.6969696970393939,1,correct_low
train::10868,A bicycle is an example of a compound machine made of many what?,['simple machines'],simple machines,1.0,"['simple machines', 'simple machines', 'simple machines', 'simple machines', 'simple machines', 'simple machines', 'simple machines', 'simple machines', 'simple machines', 'simple machines']",-0.0,-0.0235060732811689,True,1.0,correct_high,0.6969696970393939,0,correct_high
train::5953,Where in the female body does egg production take place?,['ovaries'],ovaries,1.0,"['ovaries', 'ovaries', 'ovaries', 'ovaries', 'ovaries', 'ovaries', 'ovaries', 'ovaries', 'ovaries', 'ovaries']",-0.0,-0.0707335770130157,True,1.0,correct_high,0.6969696970393939,0,correct_high
