id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,DSE_threshold,DSE_b_entropy,category_dse
train::0,['Fernie Alpine Resort'],"Banff National Park, Alberta, Canada.",0.0,"['Fernie, British Columbia.', 'Fernie, British Columbia.', 'Banff National Park, Alberta, Canada.', 'Banff National Park, Alberta, Canada.', 'Banff National Park, Alberta, Canada.', 'Banff National Park, Alberta, Canada.', 'British Columbia, Canada.', 'Fernie, British Columbia.', 'Fernie, British Columbia.', 'British Columbia, Canada.']",1.0549201679861442,where did they film hot tub time machine?,-0.6932724714279175,False,0.32561809404461245,1,incorrect_low
train::1,['Neither vessel'],Power-driven vessels shall keep out of the way of vessels not under command,0.0,"['Power-driven vessels must give way to vessels not under command, vessels engaged', 'Power-driven vessels must give way to vessels not under command, vessels engaged', 'Power-driven vessels shall keep out of the way of vessels not under command', 'Power-driven vessels shall keep out of the way of vessels not under command', 'Power-driven vessels shall keep out of the way of vessels not under command', 'Power-driven vessels shall keep out of the way of vessels not under command', 'Power-driven vessels shall keep out of the way of vessels not under command', 'Power-driven vessels shall keep out of the way of vessels not under command', 'Power-driven vessels must give way to sailing vessels.', 'Power-driven vessels shall keep out of the way of vessels not under command']",0.8018185525433372,who has the right of way in international waters?,-0.0232888888567686,False,0.32561809404461245,1,incorrect_low
train::10001,['Bruce Hornsby and the Range'],Billy Joel,0.0,"['Billy Joel', 'Billy Joel', 'Billy Joel', 'Billy Joel', 'Billy Joel', 'Billy Joel', 'Billy Joel', 'Billy Joel', 'Billy Joel', 'Billy Joel']",-0.0,who sang it just the way it is?,-5.504302978515625,False,0.32561809404461245,0,incorrect_high
train::10004,['1894'],1894,1.0,"['1894', '1894', '1894', '1894', '1894', '1894', '1894', '1894', '1894', '1894']",-0.0,when did laura ingalls wilder move to missouri?,-0.1428277343511581,True,0.32561809404461245,0,correct_high
train::10006,['100'],21,0.0,"['21', '21', '21', '21', '21', '21', '21', '21', '21', '21']",-0.0,how many statues are there on crosby beach?,-0.1428638100624084,False,0.32561809404461245,0,incorrect_high
train::10007,"['Swindon, England']","Swindon, UK",1.0,"['Swindon, UK.', 'Swindon, UK', 'Swindon, UK', 'Swindon, UK', 'Swindon, UK', 'Swindon, UK.', 'Swindon, UK', 'Swindon, UK', 'Swindon, UK.', 'Swindon, UK']",-0.0,where is the 2018 civic type r made?,-0.0008454324561171,True,0.32561809404461245,0,correct_high
train::10009,"['Scarecrow', 'Tin Woodman', 'Cowardly Lion']","The Scarecrow, the Tin Man, and the Cowardly Lion.",1.0,"['The Scarecrow, Tin Man, and Cowardly Lion.', 'The Scarecrow, Tin Man, and Cowardly Lion.', 'The Scarecrow, Tin Man, and Cowardly Lion.', 'The Scarecrow, the Tin Man, and the Cowardly Lion.', 'The Scarecrow, the Tin Man, and the Cowardly Lion.', 'The Scarecrow, the Tin Man, and the Cowardly Lion.', 'The Scarecrow, Tin Man, and Cowardly Lion.', 'The Scarecrow, the Tin Man, and the Cowardly Lion.', 'The Scarecrow, the Tin Man, and the Cowardly Lion.', 'The Scarecrow, the Tin Man, and the Cowardly Lion.']",-0.0,dorothy and toto's three travelling companions to oz?,-0.0017397757619619,True,0.32561809404461245,0,correct_high
train::1001,['Eva Dugan'],Pearl Hart,0.0,"['Pearl Hart', 'Peralta Stone', 'Pearl Hart', 'Phoebe Hesketh', 'Pearl Hart', 'Pearl Hart', 'Phoebe Hesketh', 'Pearl Hart', 'Peralta Stone', 'Peralta Stone']",1.0296530140645737,first woman to be hung in arizona territory?,-0.1129834577441215,False,0.32561809404461245,1,incorrect_low
train::10010,['24th'],Last place (26th),0.0,"['Last place (26th)', 'Last place (26th)', 'Last place (26th)', 'Last place (26th)', 'Last place (26th)', 'Last place (26th)', 'Last place (26th)', 'Last place (26th)', 'Last place (26th)', 'Last place (26th)']",-0.0,where did great britian come in eurovision 2018?,-0.014231733046472,False,0.32561809404461245,0,incorrect_high
train::10015,['erogenous zone'],Erogenous zones.,1.0,"['Erogenous zones.', 'Erogenous zones.', 'Erogenous zones.', 'Erogenous zones.', 'Erogenous zones.', 'Erogenous zones.', 'Erogenous zones.', 'Erogenous zones.', 'Erogenous zones.', 'Erogenous zones.']",-0.0,areas of the body that seem to be more sexually responsive to stimulation are called?,-0.0003549422544892,True,0.32561809404461245,0,correct_high
